title,artist,year,date
"Metope 1, south entablature, Parthenon",NA,NA,NA
Charioteers from North Frieze of the Parthenon,NA,NA,NA
Metope South 27 from the Parthenon,NA,NA,NA
Chimney Pots,James B. Thomson,NA,NA
Female Portrait,John Whittaker,NA,NA
Side Plate,Emma Gillies,NA,NA
Seascape,Myra E. Soni,NA,NA
Unknown,John W. Corner,NA,NA
Landscape,Allison E Sharpe,NA,NA
Standing Male Nude,Eleanora Borrie,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Seated Man in Uniform,James Robertson,NA,NA
Ruins in Rome,Marjorie Wallace,NA,NA
Unknown,Valerie A. Cockburn (Gage),NA,NA
Still Life with Striped Cloth and Pots,David Rifat,NA,NA
Unknown,Jeffery Camp,NA,NA
Sicily Landscape,Beatrice Patricia Grimshaw,NA,NA
Standing Female Nude,Sylvia M. R. Cameron,NA,NA
Sweden - boats tied up at quayside,Ann F Ward,NA,NA
Portrait of a Woman,Ronald G Browne,NA,NA
'Gods' and Chiton Fig East Frieze of the Parthenon,NA,NA,NA
Portrait of a Seated Woman,Ann Forbes,NA,NA
Three Men,Geoffrey J Roper,NA,NA
Untitled,Michelle Samour,NA,NA
Two male figs from Parthenon Frieze,NA,NA,NA
Portrait of a Seated Woman,Ekwall,NA,NA
Ergastines from East Frieze of the Parthenon,NA,NA,NA
Portrait of a Woman,James Robertson,NA,NA
Unknown,Derek McGuire,NA,NA
Untitled - Two Women,Gavin Waddell,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Standing Male Nude,William Mercer,NA,NA
Chimneypiece from a house in Le Mans,Unknown,NA,NA
Riders from the West Frieze of the Parthenon,NA,NA,NA
One Pound Coin,Lara Hirst,NA,NA
Three studies on a pink ground,Barbara Hepworth,NA,NA
Large Bowl,Emma Gillies,NA,NA
Untitled,Norman Ackroyd,NA,NA
Composition Notes,Unknown,NA,NA
Untitled - Portrait of a Man,Janette Brown,NA,NA
Townscape in Snow,Paul Furneaux,NA,NA
Virgin and Child,Unknown,NA,NA
Two Pipers in the Sunlight,Leonard Rosoman,NA,NA
Still Life Coffee Pot on Stool,Mollie E N Langlands,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Untitled,Peter Pretsell,NA,NA
Untitled,Joyce M Cumming,NA,NA
Untitled,Helen Wishart,NA,NA
Goat,Emma Gillies,NA,NA
Untitled,Martin McInally,NA,NA
Abstract in Brown and Blue,George M. Glen,NA,NA
Still Life with Drapes,James H. Fairgrieve,NA,NA
Unknown,Alistair Fairweather,NA,NA
Harbour at Night,Derek McGuire,NA,NA
Portrait of Woman,Leszek Muszynski,NA,NA
Woman Seated on Sofa,John Bellany,NA,NA
Unknown,D. Gordon Campbell,NA,NA
Plate,Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Still Life with Vase of Fuchsias,Edith Fraser,NA,NA
Standing Male Nude,Cecile E M Johnston,NA,NA
Standing Male Nude,Kenneth Dingwall,NA,NA
Study for completed image,Vivien Alexander,NA,NA
Plate,Emma Gillies,NA,NA
Two Views of a Lying Male Nude,Kenneth R Wheatley,NA,NA
3 Paps of Jura,Catherine Orbach,NA,NA
Portrait of a Seated Woman in Fur Coat,George Donald,NA,NA
Untitled - Drawing of a Man Wearing a Hat,Isobel T Johnstone,NA,NA
Standing Female Nude,Allan Sutherland,NA,NA
Untitled,Catherine Temple,NA,NA
Portrait of a Girl,Leszek T. Muszynski,NA,NA
Plate,Emma Gillies,NA,NA
Landscape with City in background,Peter Standen,NA,NA
Unknown,Lawrence F. Baxter,NA,NA
Farm,Donald Clark,NA,NA
Untitled,Gillian Curry,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Untitled,Unknown,NA,NA
Tajna Crne Ruke,Boris Bućan,NA,NA
Untitled,Gwyneth Duff,NA,NA
2122 Pieces,Matt Carter,NA,NA
Portrait of a Seated Man,Irene Ellis,NA,NA
Plate,Emma Gillies,NA,NA
Untitled,Regine Osbakk,NA,NA
Embroidered cloth,Winsome Douglass,NA,NA
Untitled,Unknown,NA,NA
Teacup,Emma Gillies,NA,NA
Untitled,Jason Praete,NA,NA
Seated Female Nude,Colin Turner,NA,NA
Portrait of a Young Woman,Barbara Strachan,NA,NA
Untitled,John Picking,NA,NA
Figure painting of a Woman,Elizabeth Blackadder,NA,NA
Jag Drӧmmer,Marjie Harlick,NA,NA
Male Portrait,Denness Morton,NA,NA
Standing Female Nude,Iain West,NA,NA
Seated Male Nude,Graham Durward,NA,NA
Untitled,Lindsey Edghill,NA,NA
Hand Thrown Bowl,Emma Gillies,NA,NA
Peets,Deborah Eadie,NA,NA
Tiger Tiger,Enid Marx,NA,NA
Crow,Katie Devenish,NA,NA
Portrait of a Young Man,Ann Macmillan,NA,NA
Abstract,Unknown,NA,NA
Head of a Young Man,Alison E. H. Stuart,NA,NA
Portrait of a Woman,John Hunter,NA,NA
Mythological Landscape,Robert Euman,NA,NA
Fragment of ornament,Unknown,NA,NA
Unknown,Marjorie McLachlan,NA,NA
Unknown,Betty Elston,NA,NA
Red Sky at Night,James H. Fairgrieve,NA,NA
NO 6,Norman W. Anderson,NA,NA
Portrait of a Young Man,Thora Clyne,NA,NA
Untitled - Three Figures At the Opera,Ann F Ward,NA,NA
Man with Glasses,P. G. Prescot,NA,NA
Balmacarra,Sir William George Gillies,NA,NA
Untitled,Unknown,NA,NA
Untitled,Dr Ainslie Yule,NA,NA
Seated Male Nude,James Robertson,NA,NA
Buildings,J Shore,NA,NA
Portrait of Fred McDonald,Eric Forrest,NA,NA
Untitled - Circus Rider and Horse,Jean M. Marshall,NA,NA
Seated Female Nude,Alan T. Johnston,NA,NA
Large Still Life,Sir William George Gillies,NA,NA
Untitled,Digby Maass,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Northern Highland Landscape,William Wilson,NA,NA
Unknown,Gibbs,NA,NA
Standing Male Nude,Sarah Shaw,NA,NA
Theatre,Rob McLaurin,NA,NA
Portrait of a Girl,Vanessa Bell,NA,NA
Teacup,Emma Gillies,NA,NA
Untitled,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Self Portrait,John Bellany,NA,NA
Domestic Landscape I,Giedre Karsokiene,NA,NA
Untitled,Unknown,NA,NA
Untitled,Simone Walker,NA,NA
Fidelity,Alan T. Johnston,NA,NA
Unknown,Unknown,NA,NA
Untitled - Abstract Stripes,Lindsay R S Gordon,NA,NA
Girls from East Frieze of the Parthenon,NA,NA,NA
Portrait of a Seated Man,Peter McGinn,NA,NA
Unknown,Leonard I. H. Gray,NA,NA
Cantilever Ring,Sally Morrison,NA,NA
Playground,Linda Gilliard,NA,NA
White Matter,Marissa Stoffer,NA,NA
Portrait of a Woman,Peter Pretsell,NA,NA
Male Portrait,Sheena Page,NA,NA
Untitled,Charlotte H.M. Bryce,NA,NA
Unknown,McLeod,NA,NA
Study for Hugh McDiarmid Memorial,Jake Harvey,NA,NA
Face on Water,Paul Furneaux,NA,NA
Church and Landscape,Margaret Proudfoot,NA,NA
Unknown,Unknown,NA,NA
Smocking diagrams,Unknown,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Crowd in Glasgow,Geoffrey J Roper,NA,NA
Distortion 1,Ainsley Francis,NA,NA
Self Portrait,William James Laidlaw Baillie,NA,NA
Lorenzo de' Medici,Unknown,NA,NA
Untitled - Nude Male in the Forest,Leonore D Mackay,NA,NA
Abstract,Denness Morton,NA,NA
Untitled - Shoes and a Polka Dot Blouse,David Douglas,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Seated Male Nude,Richard McNeill,NA,NA
Standing Female Nude,Fiona M Mouat,NA,NA
Unknown,Elizabeth Blackadder,NA,NA
Man and Woman in Brown,Robin Paine,NA,NA
Abstract with Crescent in Turquoise and Blue,James T Carlyle,NA,NA
Illegible title,Thora Clyne,NA,NA
Life Drawing,John Bellany,NA,NA
Silenus and the Infant Dionysos,Unknown,NA,NA
Seated Female Nude,Heather Measham,NA,NA
Three Men and a Snake,Robert Rivers,NA,NA
Nanduti lace collar,Unknown,NA,NA
Child's chinese headdress,Unknown,NA,NA
Composition with Three Figures against a Pink and Yellow Background,Alan T. Johnston,NA,NA
Unknown,William G. Craig,NA,NA
Untitled,Andrew Parkinson,NA,NA
Untitled,Unknown,NA,NA
Untitled - Street View of Rooftops and Chimneys,Eileen E M Lawrence,NA,NA
Of Carole Danielson,Helen Cargill,NA,NA
Groom and Horse from South Frieze of the Parthenon,NA,NA,NA
Angel of Lude,Unknown,NA,NA
Seated Female Nude,Ian G. Robertson,NA,NA
Unclassified,Charles E. Milson,NA,NA
Reclining Female Nude,Victorine Anne Schilsky,NA,NA
Untitiled,Robert L Snowden,NA,NA
Still Breathing,Stuart T. MacKenzie,NA,NA
Portrait of a Woman,Hillary Lewis,NA,NA
Untitled,Unknown,NA,NA
Sampler Helen Martin,Helen Martin,NA,NA
Abstract,Eileen E M Lawrence,NA,NA
Reclining Nude,Michael Docherty,NA,NA
Portrait of a Man,M Ledgerwood,NA,NA
Big Black Crow Valley,Joanna De Pear,NA,NA
Camel,Margaret Clyde,NA,NA
Portrait of a Man,Leslie Johns,NA,NA
North State,Tiina Lilja,NA,NA
Woman in Garden,Mollie E N Langlands,NA,NA
NA,Frances Sander,NA,NA
Untitled,Nil Bjorklund,NA,NA
Reclining Female Nude,Eileen E M Lawrence,NA,NA
Plate,Emma Gillies,NA,NA
Portrait of a Seated Woman,Margaret Proudfoot,NA,NA
Still Life with Fish,Alistair F. Flattely,NA,NA
Untitled,Breda Flanagan,NA,NA
Woman in Fish Net,Unknown,NA,NA
Unknown,Unknown,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Perpetual Expansion,Melinda Cross,NA,NA
Portrait miniatures in a frame,Unknown,NA,NA
Seated Male Nude,James P W Syme,NA,NA
Edinburgh College of Art Main Building,Takahiro Iwasaki,NA,NA
Dish,Emma Gillies,NA,NA
Portrait of a Man,A Robson,NA,NA
Unknown,Betty M. Ferguson,NA,NA
Standing Male Nude,Adam Robson,NA,NA
Untitled,Peter Picket,NA,NA
Study for picture 'Waking of Brynhildr',Pavlov Chailly,NA,NA
Untitled - Nude Figure Lying in Bed,Joseph Sharples,NA,NA
Teapot,Emma Gillies,NA,NA
Untitled - Portrait of Red-Haired Woman,Ian Paterson,NA,NA
Princess Margaret tomb from Lincluden Collegiate Church,Joseph Cavagnari,NA,NA
Reclining Woman,Thomas Murray,NA,NA
Unknown,Unknown,NA,NA
Girl in a Mask,Cecil Collins,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Untitled - Snake Charmer,Sheila M Gilchrist,NA,NA
Untitled,Unknown,NA,NA
Female Nude,Henry Moore,NA,NA
Portrait of an Elderly Man,J Salter,NA,NA
Untitled - Portrait of Female in Hat,Eleanor Maiden,NA,NA
Collection of Botanical Illustration Days in One,Sylvia Mackiewicz,NA,NA
Teacup,Emma Gillies,NA,NA
Seated Figures and Flight of Stairs,Ronald D. Forbes,NA,NA
Untitled,Alan Brown,NA,NA
Rothering,Dorothy M. Peach,NA,NA
Seated Female Nude,Ruth Illingworth,NA,NA
Portrait of a Woman,Elise Brown,NA,NA
Replica cast,Unknown,NA,NA
Views of a Male Nude,Martin G C McKeown,NA,NA
Untitled,BORIS JOERI BRINK,NA,NA
South Frieze of the Parthenon Frieze,NA,NA,NA
Unknown,Leonard I. H. Gray,NA,NA
Untitled,Unknown,NA,NA
Unknown,Unknown,NA,NA
Untitled - Man at a Factory,Gregor Smith,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Seated Man,James P W Syme,NA,NA
Untitled,Kate Stancliffe,NA,NA
Dušan Jovanović: Vojna Tajna,Boris Bućan,NA,NA
ça et là au bord de la mer,Jane Watt,NA,NA
Untitiled,A. Patterson Barclay,NA,NA
Unknown,Unknown,NA,NA
Fragment of ornament,Unknown,NA,NA
Plate,Emma Gillies,NA,NA
For Sanfrancisco,Andrew Arnott,NA,NA
Untitled,Norman Cameron,NA,NA
1986 Edinburgh College of Art Degree Show,Hilary A. Fisher,NA,NA
Unknown,Unknown,NA,NA
Unknown,John Binning,NA,NA
Unknown,Alexander Wilson,NA,NA
Small Cheeseplant,Susan Alexander,NA,NA
Unknown,Alan M. Alexander,NA,NA
Whitey 1.1,Stephanie Maclean,NA,NA
Four Orchids,Susan Alexander,NA,NA
Untitled,Aimee Laporte,NA,NA
Untitled,Frelyn Morton,NA,NA
Untitled,John Kieran,NA,NA
Miners,Zygmunt Bukowski,NA,NA
Untitled,Vivian Chapman,NA,NA
Seated Female Nude,Denness Morton,NA,NA
Autumnal Image,John Johnstone,NA,NA
Untitled,Maureen Purcell,NA,NA
Untitled,Unknown,NA,NA
Untitled,Patrick Wichtler,NA,NA
"Pro Tanto Quid Retribuamus/For so much, what shall we give in return?",Lara Hirst,NA,NA
Farmland,Donald Clark,NA,NA
Abstract,Alan T. Johnston,NA,NA
In the Garden,Zuzana Ullmannová,NA,NA
Untitled,Lawrence Roche,NA,NA
Unknown,Marjorie Wallace,NA,NA
2uit Deconstructing One/I'm Not That Basic,Rachel Garguilo,NA,NA
Untitled,Unknown,NA,NA
Cityscape,Norman Taylor,NA,NA
Unknown,Unknown,NA,NA
"HKD Burg Giebichenstein Halle, Germany",Sabine Lechner,NA,NA
Unknown,Muriel Davidson,NA,NA
Untitled,Peter Pretsell,NA,NA
Portrait of Graham Sulivan,Ursula Giles,NA,NA
Opuntia Claiata,Jane Watt,NA,NA
Untitled,Karen Guthrie,NA,NA
Unknown,Vivien Chapman,NA,NA
Cushion,Winsome Douglass,NA,NA
Charlotte,B.R. Coode-Adams,NA,NA
Untitled,Unknown,NA,NA
Fine lawn collar,Unknown,NA,NA
Men at Work,Norma G Reid,NA,NA
Portrait of a Seated Woman,Kellar,NA,NA
Untitled,David [Unknown],NA,NA
Untitled - Yellow Backhoe,James H. Fairgrieve,NA,NA
Untitled,D. Ganley,NA,NA
Untitled,A. Thomas,NA,NA
Untitled - Scene with Figures Relaxing in the Sun,Ann F Ward,NA,NA
Untitled,Robert L Snowden,NA,NA
Landscape,Alastair Burns,NA,NA
"Figure Composition with Nurse and Child, and Woman with Budgies",Edward A. Gage,NA,NA
Two Men in an Interior,Sean H. Watson,NA,NA
Standing Male Nude,James Nicholson,NA,NA
Untitled - Deli of a Butcher Shop,Heidi J P Kosaniuk,NA,NA
Untitled - Two Portraits of Girls,Arthur J Baglee,NA,NA
Espresso Cup,Emma Gillies,NA,NA
West Frieze of the Parthenon,NA,NA,NA
Peacocks at Beveridge Park,Unknown,NA,NA
Untitled,Wendy Gunn,NA,NA
Tiraz,Victoria C F Bernie,NA,NA
Edinburgh Old Town Cityscape,Alastair Flattely,NA,NA
Abstract Composition in Yellow and Blue,Gordon MacDonald,NA,NA
Abstract Male Nude in Landscape,William Gillon,NA,NA
Untitled,Jo Ganter,NA,NA
Kneeling Male Nude,Adam M Martin,NA,NA
Unknown,Norma Forrest,NA,NA
Self Portrait,Ursula Giles,NA,NA
Morgue,Susan Calder,NA,NA
Saucer,Emma Gillies,NA,NA
Portrait of a Seated Man,Ursula Giles,NA,NA
Untitled,M. Donlevy,NA,NA
Riders from South Frieze of the Parthenon,NA,NA,NA
Sampler,Patty Mitchell,NA,NA
Dark Landscape with Monoliths,Jacqueline A N Stieger,NA,NA
Untitled,Carole Danielson,NA,NA
Five Views of a Woman Seated,Peter McGinn,NA,NA
Unknown,D. Gordon Campbell,NA,NA
Corner of the Garden Palazzo Barderini Rome,Marjorie Wallace,NA,NA
Eclectic,Catherine Sargeant,NA,NA
Unknown,T A Suter Watt,NA,NA
Rooster,Milton Goldstein,NA,NA
Untitled,Greta Grendaite,NA,NA
Unknown,Thomas Clapperton,NA,NA
Portrait of a Man,Jean Cochrane,NA,NA
Abstract,V. Constant,NA,NA
Untitled - Abstract Woman,Chloe E Brayn,NA,NA
La bohème,Boris Bućan,NA,NA
Railway Track,Manson Heather,NA,NA
Seated Figure with Gun,Gregg Magee,NA,NA
Portrait of a Man through a Door,Paul Gladston,NA,NA
Grandmother,John Bellany,NA,NA
Untitled,Kate Stancliffe,NA,NA
Unknown,Rosemary Bagshaw,NA,NA
Unknown,Andrew P. W. Conkie,NA,NA
Maize III,Penelope Low,NA,NA
Untitled,Susan Gierasik,NA,NA
Goat,Winsome Douglass,NA,NA
Bust of an African,Unknown,NA,NA
'Heroes' and 'Gods' East Frieze of the Parthenon,NA,NA,NA
Unknown,Alan Lefley,NA,NA
Drawing of a Seated Woman,Jacqueline A N Stieger,NA,NA
Unknown,Unknown,NA,NA
Gem cabinet 2,Unknown,NA,NA
Performing Labour II,Aisling Ward,NA,NA
Untitled,Arabella Harvey,NA,NA
Crouching Venus,Sarti,NA,NA
Bust of Apollo Belvedere,Unknown,NA,NA
Untitled,Susie Wilson,NA,NA
Plate,Emma Gillies,NA,NA
Portrait of a Woman,Jessie May Stirling,NA,NA
Passage with Stacks and Artificial Light,Colin A. Lawson,NA,NA
Spring Board,Alan Brown,NA,NA
Green Landscape,Margaret Proudfoot,NA,NA
Unknown,James T. Ferguson,NA,NA
Untitled,Susan Jones,NA,NA
Unknown,Robin E. Bownass,NA,NA
Two Men in a Country Landscape,James P W Syme,NA,NA
Portrait of a Man,Andrew Restall,NA,NA
Portrait of a Man,Donald Whyte,NA,NA
Unknown,Mary C. A. Edmond,NA,NA
Nude and Kettle,Fionna E. Carlisle,NA,NA
Alligator,Morag A. MacDonald,NA,NA
The Etiquette of Landscape and Face: Passage 2,Leonie Neuweger,NA,NA
Reclining Male Nude,Jean Richie,NA,NA
Untitled,NA,NA,NA
Unknown,Ian Patterson,NA,NA
Replica cast,Unknown,NA,NA
Three Female Nudes,Nicholas Patrick Reyntiens,NA,NA
Portrait of a Woman's Head,Thomas Kim Redpath,NA,NA
Cat,Zygmunt Bukowski,NA,NA
Portrait of a Bearded Man,J Guthrie,NA,NA
Standing Male Nude,Jessie May Stirling,NA,NA
Portrait of a Man,John Hunter,NA,NA
Untitled,Lesley A. Crave,NA,NA
Sugar Bowl,Emma Gillies,NA,NA
Sea Harvest,John Muench,NA,NA
Abstract,V. Constant,NA,NA
Unknown,Laura Nye,NA,NA
Portrait of a Man,Sheena Page,NA,NA
Standing Nude,Mollie E N Langlands,NA,NA
Untitled,Mia Stanley,NA,NA
Side Plate,Emma Gillies,NA,NA
Munich Olympics,Alan Davie,NA,NA
Sea Shore,Richard Florsheim,NA,NA
Head of a Woman,Gavin Stuart,NA,NA
Untitled - Two Abstract Melting Faces,Graeme Murray,NA,NA
Head,Janice McNab,NA,NA
Untitled,Unknown,NA,NA
Standing Female Nude at Mirror,Robert S. Crozier,NA,NA
Untitled,Justine Blair,NA,NA
Untitled,Katherine Keil,NA,NA
Portrait of Man in a Hat,Adam Hogg,NA,NA
29 Split Summer Festival,Boris Bućan,NA,NA
Untitled - Figure Drawing of Semi-Nude Male with Water Jug,Gordon Bryce,NA,NA
Angel with Candelabrum,Unknown,NA,NA
Untitled,Helen G. S Forde,NA,NA
Travelling,Dorothy M. Peach,NA,NA
Composition unified by blue using under colour orange,John Bellany,NA,NA
Untitled,Moyna Flannigan,NA,NA
Untitled,Patrick McKenzie Smith,NA,NA
Stadium,Jane V Hyslop,NA,NA
Unknown,Hugh Deans,NA,NA
Bearded Man Sitting,Catherine A. MacLean,NA,NA
Unknown,Helen Gibbs,NA,NA
Filtrate,Joan Rutie,NA,NA
Saucer,Emma Gillies,NA,NA
Untitled,Brent D. Millar,NA,NA
Portrait of a Woman,Ian R McRobbie,NA,NA
Portrait of a Woman,James T Carlyle,NA,NA
Untitled,George Glen,NA,NA
Untitled,Unknown,NA,NA
Abstract in Yellow and Black,Unknown,NA,NA
Scapa Flow,Reinhard Behrens,NA,NA
Untitled,Lindsey Edghill,NA,NA
Unknown,Unknown,NA,NA
Unknown,Leonard I. H. Gray,NA,NA
Untitled,Jane Strachen,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Untitled,Ciaran O'Nuallian,NA,NA
Untitled,Unknown,NA,NA
Untitled - Still Life of Kitchen Table in Orange,William O. Little,NA,NA
Victorian collar,Unknown,NA,NA
Unknown,Margaret C. Ogilvy,NA,NA
Seated Female Nude,James H Donaldson,NA,NA
Portrait of a Woman,Colin Turner,NA,NA
Portrait of a Young Woman,Ian Hodkinson,NA,NA
Made in Finland,Tiina Lilja,NA,NA
Efficacious Force,Marissa Stoffer,NA,NA
Still Life with Guitar,John Picking,NA,NA
Seated Female Nude,Colin Stewart,NA,NA
Two Standing Nudes in a Landscape,James P W Syme,NA,NA
Dying Gaul,Unknown,NA,NA
Untitled,Irene Thomson,NA,NA
Untitled,Sarah Jamieson,NA,NA
Unknown,Zygmunt Bukowski,NA,NA
Old Waverley Hotel,Kirsty E. Raitt,NA,NA
Unknown,Helen Cargill,NA,NA
Striding Male Nude,R I McRobbie,NA,NA
Abstracted Guitar Player,Denness Morton,NA,NA
Saucer,Emma Gillies,NA,NA
Miner and Dog,Sir Sidney Nolan,NA,NA
Unknown,Alice Howell (née Bold),NA,NA
Standing Male Nude,Jacqueline A N Stieger,NA,NA
Unknown,William D Clyne,NA,NA
Untitled,Unknown,NA,NA
Saucer,Emma Gillies,NA,NA
Untitled,Paul J Donaldson,NA,NA
Disturbance,Edmundus Saladzius,NA,NA
Smocking diagrams and samples,Unknown,NA,NA
Unknown,B. J. Chambers Crabtree,NA,NA
Farm Building,Dorothy M. Peach,NA,NA
Embroidered panel,Winsome Douglass,NA,NA
Oval plate,Emma Gillies,NA,NA
Tennis Courts,Eric Ritchie,NA,NA
Unknown,Unknown,NA,NA
Untitled - Figure on the Beach,Heidi J P Kosaniuk,NA,NA
Unknown,Hazel Sutherland,NA,NA
Border Fancy,Colin Adams,NA,NA
Cup of Life,Leah Oates,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Seated Male Nude,Diana Douglas-Hamilton,NA,NA
Untitled,Joanne Leonie Milne,NA,NA
Portrait of Bearded Man with Bow Tie,Unknown,NA,NA
Seated Female Nude,Jean Fraser,NA,NA
Reclining Seated Nude,Peter Standen,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Landscape with Farmhouse,Margaret Simster,NA,NA
Untitled,Vivian Chapman,NA,NA
Scissors,Unknown,NA,NA
Untitled,Elizabeth Shepherd,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Woman,Joan Rogers,NA,NA
Portrait of a Woman,Norman E Kirkpatrick,NA,NA
Seated Female Nude,Diana Douglas-Hamilton,NA,NA
Portrait - Girl,Dorothy M. Peach,NA,NA
Memories,Stuart T. MacKenzie,NA,NA
Multi Coloured Geometric,Jim Hickey,NA,NA
Untitled,Paresh C. Chakraborty,NA,NA
Nude Woman,Mieczyslaw T. Janikowski,NA,NA
Seated Female Nude,Jean I. Beattie,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
"""Cola"" Bottle",Emma Gillies,NA,NA
Unknown,Unknown,NA,NA
Portrait of Woman in a Hat,Robert M E Callender,NA,NA
Plate,Emma Gillies,NA,NA
Performing Labour,Aisling Ward,NA,NA
"Female Faces, Lips and Dots",Jennifer M. Hughes,NA,NA
"Electric Railway Station, Limerick",Jo Ganter,NA,NA
Unknown,Marjorie Wallace,NA,NA
Seated Female Nude,William Mackay,NA,NA
Small armorial panel,Unknown,NA,NA
The Harbour,Susan Thores,NA,NA
Unknown,James T Carlyle,NA,NA
Untitled,Unknown,NA,NA
Portrait of a Woman Wearing a Hat,Alexandra Bennett,NA,NA
Espresso Cup,Emma Gillies,NA,NA
Untitled - Abstract Still Life of Flowers and Fruit,Ann F Ward,NA,NA
Cantoria,Unknown,NA,NA
Mask and Plastic Limbs,Graeme Magee,NA,NA
Standing Male Nude,Ian Hodkinson,NA,NA
Unknown,Peter Crorkin,NA,NA
Untitled,Vivian Hinkley,NA,NA
Untitled,Elizabeth Gourlay,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Untitled,James Fleming,NA,NA
Unknown,Unknown,NA,NA
Unknown,Alexander Cree,NA,NA
From Early Italian Poets,"Eduardo Luigi Paolozzi KBE, RA",NA,NA
Teacup,Emma Gillies,NA,NA
Discophoros,Unknown,NA,NA
Untitled - Life Drawing of a Bearded Man in Brown Jacket,Isobel T Johnstone,NA,NA
Untitled,Edward Stratton,NA,NA
Riders from South Frieze of the Parthenon,Joseph Cavagnari,NA,NA
Untitled,Gillian Mather,NA,NA
Seated Woman,David McClure,NA,NA
Seated Female Nude,James Martin,NA,NA
Morrocan Women,Margaret Proudfoot,NA,NA
Unknown,Norma Forrest,NA,NA
Man in Uniform,Tennant,NA,NA
Untitled,Molly Harris,NA,NA
Portrait of a Woman with Red Hair,Roger Cameron,NA,NA
Reclining Nude - Female,Mary C. A. Edmond,NA,NA
Gem cabinet 6,Unknown,NA,NA
Untitled,Jean Connacher,NA,NA
Untitled,Derek McGuire,NA,NA
Portrait of a Woman,A Scott,NA,NA
Trees in Kensington Gardens,John Kingsley Cook,NA,NA
Still Life with Skeleton and Fruit,Peter Standen,NA,NA
Portrait of a Woman,Martin G C McKeown,NA,NA
Untitled,Unknown,NA,NA
The Mirror Conspiracy,Joakim Lund,NA,NA
Untitled,Alan Bartram,NA,NA
Seated Male Nude,Robert Maclaurin,NA,NA
Portrait of a Young Man Poised to Throw,James P W Syme,NA,NA
Three Views of a Seated Female Nude,William Mackay,NA,NA
Portrait of a Man with a Book,Irene G. Thomson,NA,NA
Venus de' Medici,Unknown,NA,NA
The Dead Christ,Unknown,NA,NA
The Stone of Orkney,Teruo Isomi,NA,NA
Girl and Baby,Joan Eardley,NA,NA
Unknown,Beatrice Patricia Grimshaw,NA,NA
Untitled,Unknown,NA,NA
Embroidered panel,Winsome Douglass,NA,NA
Standing Female Nude,B Clapperton,NA,NA
Cap insert,Unknown,NA,NA
Unknown,Unknown,NA,NA
Unknown,Marjorie Wallace,NA,NA
Untitled,Pat Semple,NA,NA
Rooftop Townscape,Francis M. Walker,NA,NA
Untitled,Iona Murray,NA,NA
Standing Female Nude,Zygmunt Bukowski,NA,NA
Seated Female Nude,Lucy Bowman,NA,NA
Untitled - Birdcage and Baby,Ann F Ward,NA,NA
Sketch of Window for Final Composition,Colin Brown,NA,NA
Machine embroidered stole,Unknown,NA,NA
Portrait of Seated Man in a Cap,Kenneth Muir,NA,NA
Unknown,Elizabeth Blackadder,NA,NA
Profile of Female Nude,Patrick J. Hickey,NA,NA
Untitled,Paul Grime,NA,NA
Reclining Male Nude,Ian Hodkinson,NA,NA
Untitled,Unknown,NA,NA
Untitled,Unknown,NA,NA
Siena,John P Busby,NA,NA
Untitled,David C Duke,NA,NA
Untitled,Unknown,NA,NA
Two Men on a Train,Marjorie Wallace,NA,NA
Standing Male Nude,Grace Nichol,NA,NA
Seated Male Nude,Unknown,NA,NA
Standing Female Nude,John Maxwell,NA,NA
Portrait of a Man in Red Shirt,Alan T. Johnston,NA,NA
Three Views of a Standing Woman,Douglas Gordon,NA,NA
Blindfolded Woman at Arch,David C Duke,NA,NA
Still Life with Two Seagulls,Kenneth W. Bushe,NA,NA
Riders from the North Frieze of the Parthenon,NA,NA,NA
Untitled,Stella Auchinleck,NA,NA
Seated Male Nude,Robert Fraser,NA,NA
Portrait of a Woman,Alice Henderson,NA,NA
Espresso Saucer,Emma Gillies,NA,NA
Untitled,Elizabeth M. Hansen,NA,NA
View of Garden with Washing Lines,Margaret L. Smyth,NA,NA
Landscape with Horse,William MacLaren,NA,NA
Untitled,Robert L Snowden,NA,NA
Seated Female Nude,Sheena McEwan,NA,NA
Still Life Apples,D. Gordon Campbell,NA,NA
Unknown,Claire Alexander,NA,NA
Chariot from North Frieze of the Parthenon,NA,NA,NA
Postgraduate Degree Show 1986,Robert Adam,NA,NA
